cuda:0
[INFO] Done importing packages.
[INFO] Loading Traning and Test Datasets.
[INFO] Done loading data.
Network: Net(
  (conv1): Conv2d(3, 12, kernel_size=(3, 3), stride=(1, 1))
  (pool2): MaxPool2d(kernel_size=3, stride=3, padding=0, dilation=1, ceil_mode=False)
  (conv2): Conv2d(12, 36, kernel_size=(3, 3), stride=(1, 1))
  (fc1): Linear(in_features=28224, out_features=2400, bias=True)
  (fc2): Linear(in_features=2400, out_features=1200, bias=True)
  (fc3): Linear(in_features=1200, out_features=600, bias=True)
  (fc5): Linear(in_features=600, out_features=300, bias=True)
  (fc6): Linear(in_features=300, out_features=120, bias=True)
  (fc7): Linear(in_features=120, out_features=60, bias=True)
  (fc8): Linear(in_features=60, out_features=30, bias=True)
  (fc9): Linear(in_features=30, out_features=10, bias=True)
)
[TIMER] Process Time so far: 4.23438 seconds
Beginning Epoch 1...
Epoch: 1, Mini-Batches Processed:   500, Loss: 0.57746
Epoch: 1, Mini-Batches Processed:  1000, Loss: 0.57602
Epoch: 1, Mini-Batches Processed:  1500, Loss: 0.57612
Epoch: 1, Mini-Batches Processed:  2000, Loss: 0.57639
Epoch: 1, Mini-Batches Processed:  2500, Loss: 0.57599
Epoch: 1, Mini-Batches Processed:  3000, Loss: 0.57764
Epoch: 1, Mini-Batches Processed:  3500, Loss: 0.57573
Epoch: 1, Mini-Batches Processed:  4000, Loss: 0.57632
Epoch: 1, Mini-Batches Processed:  4500, Loss: 0.57597
Epoch: 1, Mini-Batches Processed:  5000, Loss: 0.57584
Epoch: 1, Mini-Batches Processed:  5500, Loss: 0.57717
Epoch: 1, Mini-Batches Processed:  6000, Loss: 0.57495
Epoch: 1, Mini-Batches Processed:  6500, Loss: 0.57551
Epoch: 1, Mini-Batches Processed:  7000, Loss: 0.57616
Epoch: 1, Mini-Batches Processed:  7500, Loss: 0.57607
Epoch: 1, Mini-Batches Processed:  8000, Loss: 0.57704
Epoch: 1, Mini-Batches Processed:  8500, Loss: 0.57622
Epoch: 1, Mini-Batches Processed:  9000, Loss: 0.57597
Epoch: 1, Mini-Batches Processed:  9500, Loss: 0.57667
Epoch: 1, Mini-Batches Processed: 10000, Loss: 0.57595
Epoch: 1, Mini-Batches Processed: 10500, Loss: 0.57654
Epoch: 1, Mini-Batches Processed: 11000, Loss: 0.5759
Epoch: 1, Mini-Batches Processed: 11500, Loss: 0.57608
Epoch: 1, Mini-Batches Processed: 12000, Loss: 0.5765
Epoch: 1, Mini-Batches Processed: 12500, Loss: 0.57519
Epoch: 1, Mini-Batches Processed: 13000, Loss: 0.57435
Epoch: 1, Mini-Batches Processed: 13500, Loss: 0.57606
Epoch: 1, Mini-Batches Processed: 14000, Loss: 0.57563
Epoch: 1, Mini-Batches Processed: 14500, Loss: 0.57329
Epoch: 1, Mini-Batches Processed: 15000, Loss: 0.56956
Epoch: 1, Mini-Batches Processed: 15500, Loss: 0.56458
Epoch: 1, Mini-Batches Processed: 16000, Loss: 0.55842
Epoch: 1, Mini-Batches Processed: 16500, Loss: 0.54864
Epoch: 1, Mini-Batches Processed: 17000, Loss: 0.55873
Epoch: 1, Mini-Batches Processed: 17500, Loss: 0.55023
Epoch: 1, Mini-Batches Processed: 18000, Loss: 0.54931
Epoch: 1, Mini-Batches Processed: 18500, Loss: 0.53578
Epoch: 1, Mini-Batches Processed: 19000, Loss: 0.54328
Epoch: 1, Mini-Batches Processed: 19500, Loss: 0.54111
Epoch: 1, Mini-Batches Processed: 20000, Loss: 0.53535
Epoch: 1, Mini-Batches Processed: 20500, Loss: 0.53246
Epoch: 1, Mini-Batches Processed: 21000, Loss: 0.53297
Epoch: 1, Mini-Batches Processed: 21500, Loss: 0.53396
Epoch: 1, Mini-Batches Processed: 22000, Loss: 0.53652
Epoch: 1, Mini-Batches Processed: 22500, Loss: 0.53473
Epoch: 1, Mini-Batches Processed: 23000, Loss: 0.51876
Epoch: 1, Mini-Batches Processed: 23500, Loss: 0.52223
Epoch: 1, Mini-Batches Processed: 24000, Loss: 0.51781
Epoch: 1, Mini-Batches Processed: 24500, Loss: 0.51979
Epoch: 1, Mini-Batches Processed: 25000, Loss: 0.5211
Epoch: 1, Mini-Batches Processed: 25500, Loss: 0.51742
Epoch: 1, Mini-Batches Processed: 26000, Loss: 0.5216
Epoch: 1, Mini-Batches Processed: 26500, Loss: 0.51942
Epoch: 1, Mini-Batches Processed: 27000, Loss: 0.52241
Epoch: 1, Mini-Batches Processed: 27500, Loss: 0.51671
Epoch: 1, Mini-Batches Processed: 28000, Loss: 0.51145
Epoch: 1, Mini-Batches Processed: 28500, Loss: 0.5159
Epoch: 1, Mini-Batches Processed: 29000, Loss: 0.50733
Epoch: 1, Mini-Batches Processed: 29500, Loss: 0.50453
Epoch: 1, Mini-Batches Processed: 30000, Loss: 0.50793
Epoch: 1, Mini-Batches Processed: 30500, Loss: 0.5082
Epoch: 1, Mini-Batches Processed: 31000, Loss: 0.50758
Epoch: 1, Mini-Batches Processed: 31500, Loss: 0.5071
Epoch: 1, Mini-Batches Processed: 32000, Loss: 0.50957
Epoch: 1, Mini-Batches Processed: 32500, Loss: 0.51691
Epoch: 1, Mini-Batches Processed: 33000, Loss: 0.50351
Epoch: 1, Mini-Batches Processed: 33500, Loss: 0.51733
Epoch: 1, Mini-Batches Processed: 34000, Loss: 0.51112
Epoch: 1, Mini-Batches Processed: 34500, Loss: 0.50853
Epoch: 1, Mini-Batches Processed: 35000, Loss: 0.49593
Epoch: 1, Mini-Batches Processed: 35500, Loss: 0.52056
